JoomlaGeeks,1,en,99,639,950,1,14
anne adkins,2,en,9,4,126,0,0
Click Whisperer,2,en,22528,8302,8807,13,83
rickytato,1,en,4701,285,1516,1313,7
Mario Lanzillotta,2,en,396,193,193,3,11
Silvia,1,en,282,79,411,50,0
Paul Clark,2,en,352,7485,5849,0,181
Andrea Mascellani,2,en,39,24,87,15,0
Predictive DE,2,de,510,2798,2671,0,56
Attilio Ferraccio,2,it,0,4,4,0,0
Eventi Varese,2,it,359,949,1991,0,14
Domenico Fiore,2,it,46,60,456,0,1
Trattoria  Cà Nova,3,it,127,133,382,0,1
Cliff Lewis,2,en,314,3321,3400,3,93
startupbidder,1,en,71,426,1853,0,0
abouthack,1,en,31,279,1001,0,1
sandroia,1,it,610,210,819,9,0
Città Altra Economia,3,it,376,969,1700,3,4
John Arley Burns,3,en,13,14,67,0,0
Open Source Delivers,3,en,686,443,866,0,33
Francesco Musone,2,it,31,14,79,0,0
Mozzo Analytics,2,en,193,300,1106,3,5
Lucas Ramos,2,en,159,42,55,0,1
Rockon.it,2,it,2588,7065,6850,4,77
F. Chicchiriccò,2,it,1236,95,91,3,7
Maurizio Turatti,2,it,2151,262,252,40,9
Valbonne Consulting,2,en,133,518,1991,0,4
Bombing Science,2,en,9021,14825,15821,0,401
nicolagreco,1,en,2075,12379,1436,68,202
Flavio Boubli,2,en,1809,448,532,38,5
Theodore Angelus,2,en,2094,24643,26197,4,415
SCUOLA A 4 ZAMPE,4,it,40,24,53,0,0
Strap,1,en,3207,240,397,225,4
cv2.it,2,it,317,240,990,1,2
franco aposto,2,it,0,0,9,1,0
Airbnb Italia,2,it,1998,3003,2378,198,51
Fabio Pani,2,en,9189,255,185,952,10
Piergiorgio Lucidi,2,en,1101,451,736,21,29
Salva i ciclisti,3,it,5177,7460,2943,414,145
Giuseppe bono,2,it,31,25,141,4,0
italia music club,3,it,2654,661,1986,1,3
Pierfederico Garla,2,it,83,16,36,0,1
Daniel Rodrigues,2,pt,169,129,538,0,0
Enquire Mag,2,it,5448,19089,13379,33,356
Herbert Mühlburger,3,de,3632,421,849,19,26
John Tanner,2,en,375,443,697,2,19
Max Millers,2,it,11,5,38,0,0
Matteo Salomoni,2,it,8,33,51,0,0
Marco Laspe,2,de,213,27,70,0,0
Markus Repetschnig,2,de,332,4029,2080,0,166
saharagoat,1,en,43,126,861,0,2
Mitt Ray,2,en,1586,2827,3021,1,51
Cetto LaQualunque,2,it,11,2625,33,0,16
Davide Cremonesi,2,it,267,47,102,20,3
Test One,2,en,2,0,4,0,0
advert group italia ,3,it,249,473,1993,0,5
makeonomy,1,en,36,248,1985,0,2
iarno,1,en,14258,457,438,39,12
graziad,1,en,61,19,66,2,1
geko,1,en,7958,264,354,227,16
Francesco Zenaro,2,en,209,31,26,5,0
ToddS,1,en,5583,25199,24789,4,280
Italian Agile Day,3,en,790,817,486,5,63
Under The Site,3,en,173,74,22,3,1
Stefano Piamonti,2,it,1851,349,774,0,6
MailUp,1,it,559,882,464,1,56
Claudio Menzani,2,it,8935,1342,1240,63,62
James Slattery,2,en,164,6981,4318,5,61
Francesco Lomonaco,2,en,4,5569,5185,0,212
Bruno Rocha,2,pt,18094,1232,875,2416,82
Elcimar Leandro,2,pt,1320,64,112,53,1
OfficeTime Software,2,en,1090,1206,1973,12,30
Luca Bonesini,2,en,3389,542,1284,168,13
Success,1,en,134,498,437,0,13
StartUp School,2,it,97,246,114,0,15
ubuntucommand,1,en,228,911,1918,0,30
PyCon Italy,2,en,233,500,22,0,38
Giorgio Giussani,2,it,125,13,32,2,0
Clip it! Coupon,3,en,4,400,1830,0,6
Alessandro Accomazzo,2,en,13,17,30,1,1
Morton Consulting,2,en,2980,1091,1972,0,27
Lulu API,2,en,99,306,654,0,17
LOFT COMO,2,it,75,80,160,0,0
BAEWorkshop,1,en,333,5871,7393,0,192
HPS,1,it,145,1394,1687,1,20
Printfection,1,en,1600,3880,3781,46,130
filippo diotalevi,2,en,4010,695,1233,28,50
Davide S.,2,en,138,187,587,1,10
Tristano Costa,2,en,60,8,21,0,1
Genesis Consulting,2,en,3319,1314,1847,5,35
HackBook.org,2,it,101,507,1992,0,7
D,1,en,11,96,555,1,2
Stefano Santangelo,2,it,4,6,1,0,0
Codemotion ,1,en,1436,2689,1317,54,129
Stephen Phillips,2,en,52,193,378,9,13
simone bruno,2,en,78,37,12,1,1
Ugo Cei,2,en,1326,522,380,0,35
Olaf Thormählen,3,en,271,111,266,9,3
FundCauses,1,en,2161,796,1724,6,33
Fabio Bertone,2,en,1459,412,729,274,24
